SAN IGNACIO (SIG) | PR-51X 4010 X Cambio No Comandado NORMAL RTN
SAN IGNACIO (SIG) | PR-51X 4010 X Cambio No Comandado OPERAD
SAN IGNACIO (SIG) | PR-51X 4010 X Cambio No Comandado NORMAL RTN
SAN IGNACIO (SIG) | PR-51X 4010 X Cambio No Comandado OPERAD
SAN IGNACIO (SIG) | PR-51X 4010 X Cambio No Comandado NORMAL RTN
SAN IGNACIO (SIG) | PR-51X 4010 X Cambio No Comandado OPERAD
SAN IGNACIO (SIG) | PR-51X 4010 X Cambio No Comandado NORMAL RTN
PARQUE (PQE) | IN-4400 Anormal Cambio Autorizado ABIERTO
PARQUE (PQE) | IN-4400 Cambio Comandado CERRADO RTN
GALEANA (GNA) | IN-5050 CD Cambio No Comandado ABIERT
GALEANA (GNA) | IN-5050 T 03BAJAPSEUDO Cambio No Comandado ABIERT
GALEANA (GNA) | PR-5051 5050 CD Cambio No Comandado OPERAD
GALEANA (GNA) | PR-5051 5050 CD Cambio No Comandado NORMAL RTN
GALEANA (GNA) | IN-5050 CD Cambio No Comandado CERRADO RTN
GALEANA (GNA) | IN-5050 T 03BAJAPSEUDO Cambio No Comandado CERRAD RTN
GALEANA (GNA) | IN-5030 CD Cambio No Comandado ABIERTO
GALEANA (GNA) | PR-5051 5030 CD Cambio No Comandado OPERAD
GALEANA (GNA) | PR-5051 5030 CD Cambio No Comandado NORMAL RTN
GALEANA (GNA) | IN-5030 CD Cambio No Comandado CERRADO RTN
VADO SANTA MARÍA (VSM) | IN-55025 CP 02 B Cambio No Comandado ABIERT
VADO SANTA MARÍA (VSM) | PR-5051 CP 02 P1 Cambio No Comandado OPERAD
VADO SANTA MARÍA (VSM) | PR-5051 CP 02 P1 Cambio No Comandado NORMAL RTN
PALOMAS (PMS) | IN-5310 Cambio No Comandado ABIERT
PALOMAS (PMS) | PR-51X 5310 Cambio No Comandado OPERAD
PALOMAS (PMS) | PR-51X 5310 Cambio No Comandado NORMAL RTN
PALOMAS (PMS) | IN-5310 Cambio No Comandado CERRADO RTN
VILLA AHUMADA (VAH) | IN-5230 ALIMENT CD Cambio No Comandado ABIERT
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado OPERAD
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado NORMAL RTN
VILLA AHUMADA (VAH) / AUTOMOTIVE LIGHTING (ALI) | IN-5230 ALIMENT CD Cambio No Comandado CERRADO RTN
VILLA AHUMADA (VAH) / AUTOMOTIVE LIGHTING (ALI) | IN-5230 ALIMENT CD Cambio No Comandado ABIERT
VILLA AHUMADA (VAH) / AUTOMOTIVE LIGHTING (ALI) | PR-5051 5230 CD Cambio No Comandado OPERAD
VILLA AHUMADA (VAH) / AUTOMOTIVE LIGHTING (ALI) | PR-5051 5230 CD Cambio No Comandado NORMAL RTN
VILLA AHUMADA (VAH) / AUTOMOTIVE LIGHTING (ALI) | IN-5230 ALIMENT CD Cambio No Comandado CERRADO RTN
VILLA AHUMADA (VAH) | IN-5230 ALIMENT CD Cambio No Comandado ABIERT
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado OPERAD
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado NORMAL RTN
VILLA AHUMADA (VAH) / AUTOMOTIVE LIGHTING (ALI) | IN-5230 ALIMENT CD Cambio No Comandado CERRADO RTN
VILLA AHUMADA (VAH) | IN-5230 ALIMENT CD Cambio No Comandado ABIERT
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado OPERAD
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado NORMAL RTN
VILLA AHUMADA (VAH) / AUTOMOTIVE LIGHTING (ALI) | IN-5230 ALIMENT CD Cambio Comandado CERRADO RTN
VILLA AHUMADA (VAH) / AUTOMOTIVE LIGHTING (ALI) | IN-5230 ALIMENT CD Cambio No Comandado ABIERT
VILLA AHUMADA (VAH) / AUTOMOTIVE LIGHTING (ALI) | PR-5051 5230 CD Cambio No Comandado OPERAD
VILLA AHUMADA (VAH) / AUTOMOTIVE LIGHTING (ALI) | PR-5051 5230 CD Cambio No Comandado NORMAL RTN
INSURGENTES (IGS) | PR-TROA O ITA T-02 Cambio No Comandado NORMAL RTN
VILLA AHUMADA (VAH) / AUTOMOTIVE LIGHTING (ALI) | IN-5230 ALIMENT CD Cambio Comandado CERRADO RTN
VILLA AHUMADA (VAH) / AUTOMOTIVE LIGHTING (ALI) | IN-5230 ALIMENT CD Cambio No Comandado ABIERT
VILLA AHUMADA (VAH) / AUTOMOTIVE LIGHTING (ALI) | PR-5051 5230 CD Cambio No Comandado OPERAD
