NUEVO CASAS GRANDES (NCG) / NUEVO CASAS GRANDES (NCG) | IN-94020 RE 02 Cambio Comandado CERRAD RTN REC POR lrtc
BENITO JUÁREZ (BJZ) | PR-150 T 02 Cambio No Comandado NORMAL RTN REC POR lgmp
BENITO JUÁREZ (BJZ) | PR-150 T 02 Cambio No Comandado OPERAD REC POR lgmp
GRANJERO (GJO) | IN-4290 Cambio No Comandado ABIERT
GRANJERO (GJO) | PR-51X 4290 Cambio No Comandado OPERAD
GRANJERO (GJO) | PR-51X 4290 Cambio No Comandado NORMAL RTN
GRANJERO (GJO) | IN-4290 Cambio No Comandado CERRAD RTN
GRANJERO (GJO) | IN-4290 Cambio No Comandado CERRAD RTN REC POR lgmp
GRANJERO (GJO) | IN-4290 Cambio No Comandado ABIERT REC POR lgmp
GRANJERO (GJO) | PR-51X 4290 Cambio No Comandado NORMAL RTN REC POR lgmp
GRANJERO (GJO) | PR-51X 4290 Cambio No Comandado OPERAD REC POR lgmp
INSURGENTES (IGS) | PR-TROA O ITA T-02 Cambio No Comandado OPERAD
RIVEREÑA (RVA) | IN-4940 Cambio No Comandado ABIERT
RIVEREÑA (RVA) | PR-51X 4940 Cambio No Comandado OPERAD
RIVEREÑA (RVA) | PR-51X 4940 Cambio No Comandado NORMAL RTN
RIVEREÑA (RVA) | IN-4940 Cambio No Comandado CERRAD RTN
RIVEREÑA (RVA) | IN-4940 Cambio No Comandado CERRAD RTN REC POR lgmp
RIVEREÑA (RVA) | IN-4940 Cambio No Comandado ABIERT REC POR lgmp
RIVEREÑA (RVA) | PR-51X 4940 Cambio No Comandado NORMAL RTN REC POR lgmp
RIVEREÑA (RVA) | PR-51X 4940 Cambio No Comandado OPERAD REC POR lgmp
INSURGENTES (IGS) | PR-TROA O ITA T-02 Cambio No Comandado OPERAD REC POR lgmp
CHAVEÑA (CVA) | IN-4225 Cambio No Comandado ABIERT
CHAVEÑA (CVA) | IN-4225 Cambio Comandado CERRAD RTN
CHAVEÑA (CVA) | IN-4225 Cambio Comandado CERRAD RTN REC POR jata
CHAVEÑA (CVA) | IN-4225 Cambio No Comandado ABIERT REC POR jata
MOCTEZUMA (MCZ) | IN-94020 RE 02 Anormal Cambio Autorizado ABIERT
MOCTEZUMA (MCZ) | IN-94020 RE 02 Anormal Cambio Autorizado ABIERT REC POR lrtc
MEDANOS (MED) / ORIENTE XXI (OTV) | IN-73620 OTV Anormal Cambio Autorizado ABIERT
PATRIA (PAT) | IN-78460 ANILLO LT/T Anormal Cambio Autorizado ABIERT
PATRIA (PAT) | IN-78460 ANILLO LT/T Anormal Cambio Autorizado ABIERT REC POR lrtc
MEDANOS (MED) / ORIENTE XXI (OTV) | IN-73620 OTV Anormal Cambio Autorizado ABIERT REC POR lrtc
VILLA AHUMADA (VAH) | PR-TROA T 01 49A Cambio No Comandado OPERAD
VILLA AHUMADA (VAH) | PR-TROA T 01 49A Cambio No Comandado OPERAD REC POR jata
MOCTEZUMA (MCZ) | IN-5130 Cambio Comandado CERRAD RTN
CERESO (CER) | IN-73560 Cambio No Comandado CERRAD RTN
CERESO (CER) | IN-73470 Cambio No Comandado CERRAD RTN
CERESO (CER) | IN-73560 Cambio No Comandado CERRAD RTN REC POR lrtc
CERESO (CER) | IN-73470 Cambio No Comandado CERRAD RTN REC POR lrtc
CERESO (CER) | IN-73560 Cambio No Comandado CERRAD RTN REC POR lrtc
CERESO (CER) | IN-73470 Cambio No Comandado CERRAD RTN REC POR lrtc
CHAVEÑA (CVA) | IN-4245 Cambio No Comandado ABIERT
CHAVEÑA (CVA) | PR-51X INT 4245 Cambio No Comandado OPERAD
CHAVEÑA (CVA) | PR-51X INT 4245 Cambio No Comandado NORMAL RTN
CHAVEÑA (CVA) | PR-51X INT 4245 Cambio No Comandado OPERAD
CHAVEÑA (CVA) | PR-51X INT 4245 Cambio No Comandado NORMAL RTN
CHAVEÑA (CVA) | IN-4245 Cambio No Comandado CERRAD RTN
CHAVEÑA (CVA) | IN-4245 Cambio No Comandado CERRAD RTN REC POR lgmp
CHAVEÑA (CVA) | IN-4245 Cambio No Comandado ABIERT REC POR lgmp
CHAVEÑA (CVA) | PR-51X INT 4245 Cambio No Comandado NORMAL RTN REC POR lgmp
CHAVEÑA (CVA) | PR-51X INT 4245 Cambio No Comandado OPERAD REC POR lgmp
CHAVEÑA (CVA) | PR-51X INT 4245 Cambio No Comandado NORMAL RTN REC POR lgmp
CHAVEÑA (CVA) | PR-51X INT 4245 Cambio No Comandado OPERAD REC POR lgmp
PORVENIR (PRR) | IN-4020 X Cambio No Comandado ABIERT
VADO SANTA MARÍA (VSM) | PR-26D T 03 ITA Cambio No Comandado OPERAD
VADO SANTA MARÍA (VSM) | PR-26D T 03 ITA Cambio No Comandado OPERAD REC POR lgmp
PORVENIR (PRR) | IN-4020 X Cambio No Comandado ABIERT REC POR lgmp
VILLA AHUMADA (VAH) | PR-TROA T 01 49A Cambio No Comandado OPERAD
PORVENIR (PRR) | IN-4020 X Cambio No Comandado CERRAD RTN
SAN BUENAVENTURA (SBV) | IN-5010 Cambio No Comandado ABIERT
SAN BUENAVENTURA (SBV) | PR-51X 5010 Cambio No Comandado OPERAD
SAN BUENAVENTURA (SBV) | PR-51X 5010 Cambio No Comandado NORMAL RTN
SAN BUENAVENTURA (SBV) | IN-5010 Cambio No Comandado CERRADO RTN
TECNOLÓGICO (TEC) | IN-4040 Cambio No Comandado ABIERT
TECNOLÓGICO (TEC) | PR-51X INT 4040 Cambio No Comandado OPERAD
TECNOLÓGICO (TEC) | PR-51X INT 4040 Cambio No Comandado NORMAL RTN
TECNOLÓGICO (TEC) | IN-4040 Cambio No Comandado CERRADO RTN
GALEANA (GNA) | IN-5010 CD Cambio No Comandado ABIERT
GALEANA (GNA) | PR-5051 5010 CD Cambio No Comandado OPERAD
GALEANA (GNA) | PR-5051 5010 CD Cambio No Comandado NORMAL RTN
GALEANA (GNA) | IN-5010 CD Cambio No Comandado CERRADO RTN
PARQUE (PQE) | IN-4430 Anormal Cambio Autorizado ABIERTO
PARQUE (PQE) | IN-4430 Cambio Comandado CERRADO RTN
VILLA AHUMADA (VAH) | IN-5230 ALIMENT CD Cambio No Comandado ABIERT
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado OPERAD
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado NORMAL RTN
BENITO JUÁREZ (BJZ) | IN-5030 ALIMENT CD Cambio No Comandado ABIERT
BENITO JUÁREZ (BJZ) | PR-150 T 02 Cambio No Comandado OPERAD
BENITO JUÁREZ (BJZ) | PR-150 T 02 Cambio No Comandado NORMAL RTN
VILLA AHUMADA (VAH) | IN-5230 ALIMENT CD Cambio No Comandado ABIERT
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado OPERAD
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado NORMAL RTN
BENITO JUÁREZ (BJZ) | IN-5030 ALIMENT CD Cambio No Comandado ABIERT
BENITO JUÁREZ (BJZ) | PR-150 T 02 Cambio No Comandado OPERAD
BENITO JUÁREZ (BJZ) | PR-150 T 02 Cambio No Comandado NORMAL RTN
VILLA AHUMADA (VAH) | IN-5230 ALIMENT CD Cambio No Comandado ABIERT
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado OPERAD
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado NORMAL RTN
BENITO JUÁREZ (BJZ) | IN-5030 ALIMENT CD Cambio No Comandado ABIERT
BENITO JUÁREZ (BJZ) | PR-150 T 02 Cambio No Comandado OPERAD
BENITO JUÁREZ (BJZ) | PR-150 T 02 Cambio No Comandado NORMAL RTN
ASENCION (AON) | IN-5110 Cambio No Comandado ABIERT
ASENCION (AON) | PR-51X 5110 Cambio No Comandado OPERAD
ASENCION (AON) | PR-51X 5110 Cambio No Comandado NORMAL RTN
ASENCION (AON) | IN-5110 Cambio No Comandado CERRADO RTN
LIBERTAD (LTD) | PR-63A Y/O 63D T-02 Cambio No Comandado OPERAD
LIBERTAD (LTD) | PR-63A Y/O 63D T-02 Cambio No Comandado NORMAL RTN
TORRES (TOR) | IN-4075 Cambio No Comandado ABIERTO
ASENCION (AON) | IN-5150 Cambio No Comandado ABIERT
ASENCION (AON) | PR-51X 5150 Cambio No Comandado OPERAD
ASENCION (AON) | PR-51X 5150 Cambio No Comandado NORMAL RTN
ASENCION (AON) | IN-5150 Cambio No Comandado CERRADO RTN
TORRES (TOR) | IN-4075 Cambio Comandado CERRADO RTN
TORRES (TOR) | IN-47005 TRANSFE Anormal Cambio Autorizado ABIERTO
TORRES (TOR) | IN-47005 PSEUDO Cambio No Comandado ABIERT
VILLA AHUMADA (VAH) / AUTOMOTIVE LIGHTING (ALI) | IN-5230 ALIMENT CD Cambio Comandado CERRADO RTN
GRANJERO (GJO) | PR-TROA T-01 49A Cambio No Comandado OPERAD
VADO SANTA MARÍA (VSM) | PR-26D T 03 ITA Cambio No Comandado OPERAD
CHAVEÑA (CVA) | PR-TROA T-02 49A Cambio No Comandado OPERAD
MONTEVERDE (MTV) | IN-5635 ALIMENT CD Cambio No Comandado ABIERT
MONTEVERDE (MTV) | PR-50/51 5635 Cambio No Comandado OPERAD
MONTEVERDE (MTV) | PR-50/51 5635 Cambio No Comandado NORMAL RTN
MONTEVERDE (MTV) / AUTOMOTIVE LIGHTING (ALI) | IN-5635 ALIMENT CD Cambio No Comandado CERRADO RTN
MONTEVERDE (MTV) | IN-5635 ALIMENT CD Cambio No Comandado ABIERT
MONTEVERDE (MTV) | PR-50/51 5635 Cambio No Comandado OPERAD
MONTEVERDE (MTV) | PR-50/51 5635 Cambio No Comandado NORMAL RTN
MONTEVERDE (MTV) / AUTOMOTIVE LIGHTING (ALI) | IN-5635 ALIMENT CD Cambio No Comandado CERRADO RTN
MONTEVERDE (MTV) | IN-5635 ALIMENT CD Cambio No Comandado ABIERT
MONTEVERDE (MTV) | PR-50/51 5635 Cambio No Comandado OPERAD
MONTEVERDE (MTV) | PR-50/51 5635 Cambio No Comandado NORMAL RTN
REFORMA (REA) | IN-79000 AMARRE Anormal Cambio Autorizado ABIERTO
REFORMA (REA) | IN-99000 AMARRE Anormal Cambio Autorizado ABIERTO
LAGOS (LAG) | IN-4025 Cambio No Comandado ABIERT
LAGOS (LAG) | PR-51X 4025 Cambio No Comandado OPERAD
LAGOS (LAG) | PR-51X 4025 Cambio No Comandado NORMAL RTN
LIBERTAD (LTD) | IN-4730 Cambio No Comandado ABIERT
LIBERTAD (LTD) | PR-51X 4730 Cambio No Comandado OPERAD
LIBERTAD (LTD) | PR-51X 4730 Cambio No Comandado NORMAL RTN
LIBERTAD (LTD) | IN-4730 Cambio No Comandado CERRADO RTN
LAGOS (LAG) | IN-4025 Cambio Comandado CERRADO RTN
VILLA AHUMADA (VAH) | PR-TROA T 01 49A Cambio No Comandado OPERAD
MONTEVERDE (MTV) | IN-5615 Cambio No Comandado ABIERT
MONTEVERDE (MTV) | PR-50 5615 Cambio No Comandado OPERAD
MONTEVERDE (MTV) | PR-50 5615 Cambio No Comandado NORMAL RTN
MONTEVERDE (MTV) | IN-55035 CP 03 B Cambio No Comandado ABIERTO
MONTEVERDE (MTV) | IN-55015 CP 01 Cambio No Comandado ABIERT
MONTEVERDE (MTV) | PR-59 CP 03 P1 Cambio No Comandado OPERAD
MONTEVERDE (MTV) | PR-59B 55015 Cambio No Comandado OPERAD
MONTEVERDE (MTV) | PR-59 CP 03 P1 Cambio No Comandado NORMAL RTN
MONTEVERDE (MTV) | IN-5615 Cambio No Comandado CERRADO RTN
MONTEVERDE (MTV) | PR-59B 55015 Cambio No Comandado NORMAL RTN
CHAVEÑA (CVA) | PR-TROA T-02 49A Cambio No Comandado NORMAL RTN
CHAVEÑA (CVA) | PR-TROA T-02 49A Cambio No Comandado OPERAD
MONTEVERDE (MTV) / AUTOMOTIVE LIGHTING (ALI) | IN-5635 ALIMENT CD Cambio Comandado CERRADO RTN
MONTEVERDE (MTV) | IN-55015 CP 01 Cambio Comandado CERRADO RTN
VILLA AHUMADA (VAH) | IN-5230 ALIMENT CD Cambio No Comandado ABIERT
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado OPERAD
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado NORMAL RTN
VILLA AHUMADA (VAH) / AUTOMOTIVE LIGHTING (ALI) | IN-5230 ALIMENT CD Cambio No Comandado CERRADO RTN
INSURGENTES (IGS) | PR-TROA O ITA T-02 Cambio No Comandado OPERAD
TERRANOVA (TER) | IN-73670 XEO LT Cambio Comandado CERRADO RTN
MONTEVERDE (MTV) | IN-5625 Cambio No Comandado ABIERT
MONTEVERDE (MTV) | PR-51 5625 Cambio No Comandado OPERAD
MONTEVERDE (MTV) | PR-51 5625 Cambio No Comandado NORMAL RTN
MONTEVERDE (MTV) | IN-5625 Cambio No Comandado CERRADO RTN
MONTEVERDE (MTV) | IN-5635 ALIMENT CD Cambio No Comandado ABIERT
MONTEVERDE (MTV) | PR-50/51 5635 Cambio No Comandado OPERAD
MONTEVERDE (MTV) | PR-50/51 5635 Cambio No Comandado NORMAL RTN
MONTEVERDE (MTV) / AUTOMOTIVE LIGHTING (ALI) | IN-5635 ALIMENT CD Cambio No Comandado CERRADO RTN
MONTEVERDE (MTV) | IN-5635 ALIMENT CD Cambio No Comandado ABIERT
MONTEVERDE (MTV) | PR-50/51 5635 Cambio No Comandado OPERAD
MONTEVERDE (MTV) | PR-50/51 5635 Cambio No Comandado NORMAL RTN
MONTEVERDE (MTV) / AUTOMOTIVE LIGHTING (ALI) | IN-5635 ALIMENT CD Cambio No Comandado CERRADO RTN
MONTEVERDE (MTV) | IN-5635 ALIMENT CD Cambio No Comandado ABIERT
MONTEVERDE (MTV) | PR-50/51 5635 Cambio No Comandado OPERAD
MONTEVERDE (MTV) | PR-50/51 5635 Cambio No Comandado NORMAL RTN
MONTEVERDE (MTV) / AUTOMOTIVE LIGHTING (ALI) | IN-5635 ALIMENT CD Cambio No Comandado CERRADO RTN
COLEGIO (CLG) | IN-4365 Cambio No Comandado ABIERT
COLEGIO (CLG) | PR-51X 4365 Cambio No Comandado OPERAD
COLEGIO (CLG) | PR-51X 4365 Cambio No Comandado NORMAL RTN
COLEGIO (CLG) | IN-4365 Cambio No Comandado CERRADO RTN
SALVARCAR (SVC) | IN-4095 Cambio No Comandado ABIERT
SALVARCAR (SVC) | PR-50/51 4095 Cambio No Comandado OPERAD
SALVARCAR (SVC) | PR-50/51 4095 Cambio No Comandado NORMAL RTN
SALVARCAR (SVC) | IN-4095 Cambio No Comandado CERRADO RTN
BENITO JUÁREZ (BJZ) | IN-5040 ALIMENT CD Cambio No Comandado ABIERT
BENITO JUÁREZ (BJZ) | PR-5051 5040 CD Cambio No Comandado OPERAD
BENITO JUÁREZ (BJZ) | PR-5051 5040 CD Cambio No Comandado NORMAL RTN
BENITO JUÁREZ (BJZ) / AUTOMOTIVE LIGHTING (ALI) | IN-5040 ALIMENT CD Cambio No Comandado CERRADO RTN
LA SALADA (LSA) | IN-5445 ALIMENT CD Cambio No Comandado ABIERT
LA SALADA (LSA) | PR-50 5445 Cambio No Comandado OPERAD
LA SALADA (LSA) | PR-50 5445 Cambio No Comandado NORMAL RTN
LA SALADA (LSA) / AUTOMOTIVE LIGHTING (ALI) | IN-5445 ALIMENT CD Cambio Comandado CERRADO RTN
REFORMA (REA) | IN-97000 TRANSFE Cambio Comandado CERRADO RTN
BENITO JUÁREZ (BJZ) / AUTOMOTIVE LIGHTING (ALI) | IN-5030 ALIMENT CD Cambio Comandado CERRADO RTN
REFORMA (REA) | IN-92040 AT 04 Anormal Cambio Autorizado ABIERTO
BENITO JUÁREZ (BJZ) / AUTOMOTIVE LIGHTING (ALI) | IN-5040 ALIMENT CD Anormal Cambio Autorizado ABIERTO
VILLA AHUMADA (VAH) | IN-5230 ALIMENT CD Cambio No Comandado ABIERT
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado OPERAD
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado NORMAL RTN
VILLA AHUMADA (VAH) / AUTOMOTIVE LIGHTING (ALI) | IN-5230 ALIMENT CD Cambio No Comandado CERRADO RTN
VILLA AHUMADA (VAH) | IN-5220 Cambio No Comandado ABIERT
VILLA AHUMADA (VAH) | PR-51X 5220 Cambio No Comandado OPERAD
VILLA AHUMADA (VAH) | PR-51X 5220 Cambio No Comandado NORMAL RTN
VILLA AHUMADA (VAH) | IN-5220 Cambio No Comandado CERRADO RTN
SAMALAYUCA DOS (SYD) | IN-41045 UN 04 Cambio No Comandado ABIERTO
SAMALAYUCA DOS (SYD) | IN-51030 UN 03 Cambio No Comandado ABIERT
SAMALAYUCA DOS (SYD) | IN-98040 MEDIO Cambio No Comandado ABIERT
SAMALAYUCA DOS (SYD) | IN-91340 T 34 Cambio No Comandado ABIERT
SAMALAYUCA DOS (SYD) | PR-86U UN 34 Cambio No Comandado OPERAD
VILLA AHUMADA (VAH) | IN-5230 ALIMENT CD Cambio No Comandado ABIERT
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado OPERAD
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado NORMAL RTN
VILLA AHUMADA (VAH) / AUTOMOTIVE LIGHTING (ALI) | IN-5230 ALIMENT CD Cambio No Comandado CERRADO RTN
VILLA AHUMADA (VAH) | IN-5230 ALIMENT CD Cambio No Comandado ABIERT
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado OPERAD
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado NORMAL RTN
VILLA AHUMADA (VAH) / AUTOMOTIVE LIGHTING (ALI) | IN-5230 ALIMENT CD Cambio No Comandado CERRADO RTN
VILLA AHUMADA (VAH) | IN-5230 ALIMENT CD Cambio No Comandado ABIERT
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado OPERAD
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado NORMAL RTN
VILLA AHUMADA (VAH) / AUTOMOTIVE LIGHTING (ALI) | IN-5230 ALIMENT CD Cambio No Comandado CERRADO RTN
REFORMA (REA) | IN-92040 AT 04 Cambio Comandado CERRADO RTN
REFORMA (REA) | IN-97000 TRANSFE Anormal Cambio Autorizado ABIERTO
VILLA AHUMADA (VAH) | IN-5230 ALIMENT CD Cambio No Comandado ABIERT
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado OPERAD
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado NORMAL RTN
VILLA AHUMADA (VAH) / AUTOMOTIVE LIGHTING (ALI) | IN-5230 ALIMENT CD Cambio No Comandado CERRADO RTN
PASO DEL NORTE (PNR) | IN-77000 TRANSFE Anormal Cambio Autorizado ABIERTO
COLEGIO (CLG) / FUENTES (FTS) | IN-73220 FTS Anormal Cambio Autorizado ABIERTO
PASO DEL NORTE (PNR) | IN-77000 TRANSFE Cambio Comandado CERRADO RTN
PASO DEL NORTE (PNR) | IN-72990 AT 99 Anormal Cambio Autorizado ABIERTO
VADO SANTA MARÍA (VSM) | IN-5555 ALIMENT CD Cambio No Comandado ABIERT
VADO SANTA MARÍA (VSM) | PR-50 5555 Cambio No Comandado OPERAD
VADO SANTA MARÍA (VSM) | PR-50 5555 Cambio No Comandado NORMAL RTN
VADO SANTA MARÍA (VSM) / AUTOMOTIVE LIGHTING (ALI) | IN-5555 ALIMENT CD Cambio Comandado CERRADO RTN
PASO DEL NORTE (PNR) | IN-72990 AT 99 Cambio Comandado CERRADO RTN
PASO DEL NORTE (PNR) | IN-77000 TRANSFE Anormal Cambio Autorizado ABIERTO
CHAMIZAL (CZL) | IN-4860 Cambio No Comandado ABIERT
CHAMIZAL (CZL) | PR-51X INT 4860 Cambio No Comandado OPERAD
CHAMIZAL (CZL) | PR-51X INT 4860 Cambio No Comandado NORMAL RTN
CHAMIZAL (CZL) | IN-4860 Cambio No Comandado CERRADO RTN
PASO DEL NORTE (PNR) | IN-77000 TRANSFE Cambio Comandado CERRADO RTN
BENITO JUÁREZ (BJZ) / AUTOMOTIVE LIGHTING (ALI) | IN-5040 ALIMENT CD Cambio Comandado CERRADO RTN
BENITO JUÁREZ (BJZ) | IN-5030 ALIMENT CD Cambio No Comandado ABIERT
BENITO JUÁREZ (BJZ) | PR-150 T 02 Cambio No Comandado OPERAD
BENITO JUÁREZ (BJZ) | PR-150 T 02 Cambio No Comandado NORMAL RTN
COLEGIO (CLG) / FUENTES (FTS) | IN-73220 FTS Cambio Comandado CERRADO RTN
CHAMIZAL (CZL) | IN-4860 Anormal Cambio Autorizado ABIERTO
CHAMIZAL (CZL) | IN-4860 Cambio Comandado CERRADO RTN
BENITO JUÁREZ (BJZ) / AUTOMOTIVE LIGHTING (ALI) | IN-5030 ALIMENT CD Cambio Comandado CERRADO RTN
GRANJERO (GJO) | PR-TROA T-01 49A Cambio No Comandado NORMAL RTN
REFORMA (REA) | IN-99000 AMARRE Cambio Comandado CERRADO RTN
REFORMA (REA) | IN-79000 AMARRE Cambio Comandado CERRADO RTN
ASENCION DOS (AOD) | IN-75010 CP 01 B Anormal Cambio Autorizado ABIERTO
VADO SANTA MARÍA (VSM) | PR-26D T 03 ITA Cambio No Comandado NORMAL RTN
GEMINIS (GEM) | PR-50/51 4055 Cambio No Comandado OPERAD
GEMINIS (GEM) | IN-4055 Cambio No Comandado ABIERTO
GEMINIS (GEM) | PR-50/51 4055 Cambio No Comandado NORMAL RTN
GEMINIS (GEM) | IN-4055 Cambio No Comandado CERRADO RTN
GEMINIS (GEM) | IN-4055 Cambio No Comandado ABIERT
GEMINIS (GEM) | PR-50/51 4055 Cambio No Comandado OPERAD
GEMINIS (GEM) | PR-50/51 4055 Cambio No Comandado NORMAL RTN
GEMINIS (GEM) | IN-4055 Cambio No Comandado CERRADO RTN
GEMINIS (GEM) | IN-4055 Cambio No Comandado ABIERT
GEMINIS (GEM) | PR-50/51 4055 Cambio No Comandado OPERAD
GEMINIS (GEM) | PR-50/51 4055 Cambio No Comandado NORMAL RTN
GEMINIS (GEM) | IN-4055 Cambio Comandado CERRADO RTN
VILLA AHUMADA (VAH) | PR-TROA T 01 49A Cambio No Comandado NORMAL RTN
CUATRO SIGLOS (CSI) | IN-4015 Anormal Cambio Autorizado ABIERTO
INSURGENTES (IGS) | PR-TROA O ITA T-02 Cambio No Comandado NORMAL RTN
GALEANA (GNA) / AUTOMOTIVE LIGHTING (ALI) | IN-5060 ALIMENT XCD Cambio No Comandado ABIERTO
GALEANA (GNA) / AUTOMOTIVE LIGHTING (ALI) | PR-50/51 5060 XN Cambio No Comandado OPERAD
GALEANA (GNA) / AUTOMOTIVE LIGHTING (ALI) | PR-50/51 5060 XN Cambio No Comandado NORMAL RTN
GALEANA (GNA) / AUTOMOTIVE LIGHTING (ALI) | IN-5060 ALIMENT XCD Cambio No Comandado CERRADO RTN
VADO SANTA MARÍA (VSM) | IN-5525 Cambio No Comandado ABIERT
VADO SANTA MARÍA (VSM) | PR-50 5525 Cambio No Comandado OPERAD
VADO SANTA MARÍA (VSM) | PR-50 5525 Cambio No Comandado NORMAL RTN
VADO SANTA MARÍA (VSM) | IN-5525 Cambio No Comandado CERRADO RTN
CHAVEÑA (CVA) | PR-TROA T-02 49A Cambio No Comandado NORMAL RTN
ASENCION DOS (AOD) | IN-75010 CP 01 B Cambio Comandado CERRADO RTN
VILLA AHUMADA (VAH) | IN-5210 Cambio No Comandado ABIERT
VILLA AHUMADA (VAH) | PR-51X 5210 Cambio No Comandado OPERAD
VILLA AHUMADA (VAH) | PR-51X 5210 Cambio No Comandado NORMAL RTN
VILLA AHUMADA (VAH) | IN-5210 Cambio No Comandado CERRADO RTN
CUATRO SIGLOS (CSI) | IN-45015 CP 01 B Anormal Cambio Autorizado ABIERTO
CUATRO SIGLOS (CSI) | IN-4025 Anormal Cambio Autorizado ABIERTO
BENITO JUÁREZ (BJZ) | IN-5030 ALIMENT CD Cambio No Comandado ABIERT
BENITO JUÁREZ (BJZ) | PR-150 T 02 Cambio No Comandado OPERAD
BENITO JUÁREZ (BJZ) | PR-150 T 02 Cambio No Comandado NORMAL RTN
CUATRO SIGLOS (CSI) | IN-42015 T 01 BAJA Anormal Cambio Autorizado ABIERTO
VILLA AHUMADA (VAH) | IN-5230 ALIMENT CD Cambio No Comandado ABIERT
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado OPERAD
VILLA AHUMADA (VAH) | PR-5051 5230 CD Cambio No Comandado NORMAL RTN
VILLA AHUMADA (VAH) / AUTOMOTIVE LIGHTING (ALI) | IN-5230 ALIMENT CD Cambio No Comandado CERRADO RTN
CUATRO SIGLOS (CSI) | IN-42015 T 01 BAJA Cambio Comandado CERRADO RTN
CUATRO SIGLOS (CSI) | IN-4015 Cambio Comandado CERRADO RTN
CUATRO SIGLOS (CSI) | IN-4015 Anormal Cambio Autorizado ABIERTO
CUATRO SIGLOS (CSI) | IN-4025 Cambio No Comandado CERRADO RTN
CUATRO SIGLOS (CSI) | IN-45015 CP 01 B Cambio Comandado CERRADO RTN
VILLA AHUMADA (VAH) | PR-TROA T 01 49A Cambio No Comandado OPERAD
INDUSTRIAL JUÁREZ (INJ) / LIBERTAD (LTD) | IN-73240 LTD Anormal Cambio Autorizado ABIERTO
INDUSTRIAL JUÁREZ (INJ) / LIBERTAD (LTD) | IN-73240 LTD Cambio No Comandado CERRAD RTN
INDUSTRIAL JUÁREZ (INJ) / LIBERTAD (LTD) | IN-73240 LTD Cambio No Comandado ABIERT
BENITO JUÁREZ (BJZ) / AUTOMOTIVE LIGHTING (ALI) | IN-5040 ALIMENT CD Anormal Cambio Autorizado ABIERTO
BENITO JUÁREZ (BJZ) / AUTOMOTIVE LIGHTING (ALI) | IN-5030 ALIMENT CD Cambio Comandado CERRADO RTN
GRANJERO (GJO) | IN-4290 Cambio No Comandado ABIERT
GRANJERO (GJO) | PR-51X 4290 Cambio No Comandado OPERAD
GRANJERO (GJO) | PR-51X 4290 Cambio No Comandado NORMAL RTN
GRANJERO (GJO) | IN-4290 Cambio No Comandado CERRADO RTN
GRANJERO (GJO) | IN-4290 Cambio No Comandado ABIERT
GRANJERO (GJO) | PR-51X 4290 Cambio No Comandado OPERAD
GRANJERO (GJO) | PR-51X 4290 Cambio No Comandado NORMAL RTN
GRANJERO (GJO) | IN-4290 Cambio No Comandado CERRADO RTN
GRANJERO (GJO) | IN-4290 Cambio No Comandado ABIERT
GRANJERO (GJO) | PR-51X 4290 Cambio No Comandado OPERAD
GRANJERO (GJO) | PR-51X 4290 Cambio No Comandado NORMAL RTN
INDUSTRIAL JUÁREZ (INJ) | IN-77000 TRANSFE B1/BT Cambio Comandado CERRADO RTN
VILLA AHUMADA (VAH) | IN-5210 Cambio No Comandado ABIERT
VILLA AHUMADA (VAH) | PR-150 T-01 Cambio No Comandado OPERAD
VILLA AHUMADA (VAH) | PR-150 T-01 Cambio No Comandado NORMAL RTN
GRANJERO (GJO) | IN-4290 Cambio Comandado CERRADO RTN
VALLE LA ESPERANZA (VEZ) | IN-5015 ALIMENT CD Cambio No Comandado ABIERT
VALLE LA ESPERANZA (VEZ) | PR-5051 5015 CD Cambio No Comandado OPERAD
VALLE LA ESPERANZA (VEZ) | PR-5051 5015 CD Cambio No Comandado NORMAL RTN
VALLE LA ESPERANZA (VEZ) / AUTOMOTIVE LIGHTING (ALI) | IN-5015 ALIMENT CD Cambio No Comandado CERRADO RTN
VALLE LA ESPERANZA (VEZ) | IN-5015 ALIMENT CD Cambio No Comandado ABIERT
