VALLE DE JUÁREZ (VJZ) | IN-72990 AT-99 Anormal Cambio Autorizado ABIERTO
VALLE DE JUÁREZ (VJZ) | IN-92990 AT-99 Anormal Cambio Autorizado ABIERTO
VALLE DE JUÁREZ (VJZ) | IN-92990 AT-99 CERRADO RTN
VALLE DE JUÁREZ (VJZ) | IN-72990 AT-99 CERRADO RTN
VALLE DE JUÁREZ (VJZ) | IN-42050 SP CERRADO RTN
COLEGIO (CLG) / FUENTES (FTS) | IN-73220 FTS Anormal Cambio Autorizado ABIERTO
INSURGENTES (IGS) / CHAMIZAL (CZL) | IN-73120 CZL Anormal Cambio Autorizado ABIERTO
CHAMIZAL (CZL) / INSURGENTES (IGS) | IN-73120 IGS Anormal Cambio Autorizado ABIERTO
CHAMIZAL (CZL) / INSURGENTES (IGS) | IN-73120 IGS CERRADO RTN
INSURGENTES (IGS) / CHAMIZAL (CZL) | IN-73120 CZL CERRADO RTN
MEDANOS (MED) / ORIENTE XXI (OTV) | IN-73620 OTV ABIERTO
PATRIA (PAT) | IN-78460 ANILLO LT/T Anormal Cambio Autorizado ABIERTO
NUEVO CASAS GRANDES (NCG) | PR-85L 93930 NRI P1 OPERAD
NUEVO CASAS GRANDES (NCG) | PR-DRM 93930 NRI P2 Cambio No Comandado OPERAD
NUEVO CASAS GRANDES (NCG) | PR-RDT 93930 NRI FO Cambio No Comandado OPERAD
LA SALADA (LSA) | IN-72010 T-01 ABIERTO
LA SALADA (LSA) | IN-72010 T-01 CERRADO RTN
ASENCION DOS (AOD) | IN-75010 CP 01 B Anormal Cambio Autorizado ABIERTO
SAMALAYUCA (SYC) | IN-91010 ABIERTO
SAMALAYUCA (SYC) | IN-90010 ABIERTO
MEDANOS (MED) / ORIENTE XXI (OTV) | IN-73620 OTV CERRADO RTN
PATRIA (PAT) | IN-78460 ANILLO LT/T CERRADO RTN
COLEGIO (CLG) / FUENTES (FTS) | IN-73220 FTS CERRADO RTN
VALLE DE JUÁREZ (VJZ) | IN-75010 CP 01 Anormal Cambio Autorizado ABIERTO
SAMALAYUCA DOS (SYD) | IN-51030 UN 03 ABIERTO
SALVARCAR (SVC) | IN-78340 ANILLO ABIERTO
SALVARCAR (SVC) | IN-78020 ABIERTO
SALVARCAR (SVC) | PR-50/51 78020 Cambio No Comandado OPERAD
SAMALAYUCA DOS (SYD) | IN-41045 UN 04 ABIERTO
SALVARCAR (SVC) | IN-78340 ANILLO CERRADO RTN
SALVARCAR (SVC) | IN-78020 CERRADO RTN
LA SALADA (LSA) | IN-72010 T-01 ABIERTO
LA SALADA (LSA) | IN-72010 T-01 CERRADO RTN
TERRANOVA (TER) / CUADRO DE MANIOBRAS ELECTROLUX (CME) | IN-73060 CME Anormal Cambio Autorizado ABIERTO
CUADRO DE MANIOBRAS ELECTROLUX (CME) / TERRANOVA (TER) | IN-73060 TER LT Anormal Cambio Autorizado ABIERTO
SAMALAYUCA (SYC) / PRODUCTOR TRANSALTA CHIHUAHUA (PTC) | IN-90400 PTC Anormal Cambio Autorizado ABIERTO
SAMALAYUCA (SYC) / PRODUCTOR TRANSALTA CHIHUAHUA (PTC) | IN-93400 PTC Anormal Cambio Autorizado ABIERTO
SALVARCAR (SVC) | IN-78020 ABIERTO
SALVARCAR (SVC) | IN-78340 ANILLO Anormal Cambio Autorizado ABIERTO
ASENCION DOS (AOD) | IN-75010 CP 01 B CERRADO RTN
SALVARCAR (SVC) | IN-78340 ANILLO CERRADO RTN
SALVARCAR (SVC) | IN-78020 CERRADO RTN
MEDANOS (MED) / ORIENTE XXI (OTV) | IN-73620 OTV ABIERTO
VALLE DE JUÁREZ (VJZ) | IN-75010 CP 01 CERRADO RTN
SAMALAYUCA (SYC) / PRODUCTOR TRANSALTA CHIHUAHUA (PTC) | IN-93400 PTC CERRADO RTN
SAMALAYUCA (SYC) / PRODUCTOR TRANSALTA CHIHUAHUA (PTC) | IN-90400 PTC CERRADO RTN
TERRANOVA (TER) / CUADRO DE MANIOBRAS ELECTROLUX (CME) | IN-73420 CME ABIERTO
TERRANOVA (TER) / CUADRO DE MANIOBRAS ELECTROLUX (CME) | PR-67N 73420 CME Cambio No Comandado OPERAD
TERRANOVA (TER) / CUADRO DE MANIOBRAS ELECTROLUX (CME) | PR-87 73060 CME Cambio No Comandado OPERAD
TERRANOVA (TER) / CUADRO DE MANIOBRAS ELECTROLUX (CME) | PR-67N 73060 CME Cambio No Comandado OPERAD
TERRANOVA (TER) / CUADRO DE MANIOBRAS ELECTROLUX (CME) | PR-86FI 73060 CME Cambio No Comandado OPERAD
CUADRO DE MANIOBRAS ELECTROLUX (CME) / TERRANOVA (TER) | PR-87L 73060 TER P1 OPERAD
CUADRO DE MANIOBRAS ELECTROLUX (CME) / ORIENTE XXI (OTV) | IN-73580 OTV Anormal Cambio Autorizado ABIERTO
CUADRO DE MANIOBRAS ELECTROLUX (CME) / TERRANOVA (TER) | IN-73420 TER Anormal Cambio Autorizado ABIERTO
CUADRO DE MANIOBRAS ELECTROLUX (CME) / SAN ISIDRO (SID) | IN-73520 SID Anormal Cambio Autorizado ABIERTO
CUADRO DE MANIOBRAS ELECTROLUX (CME) / SAN ISIDRO (SID) | IN-73610 Anormal Cambio Autorizado ABIERT
CUADRO DE MANIOBRAS ELECTROLUX (CME) / SAN ISIDRO (SID) | IN-73690 INV LT Anormal Cambio Autorizado ABIERT
ORIENTE XXI (OTV) | IN-78580 Anormal Cambio Autorizado ABIERTO
ORIENTE XXI (OTV) | IN-78620 ANILLO LT/LT Anormal Cambio Autorizado ABIERTO
MEDANOS (MED) / ORIENTE XXI (OTV) | IN-73620 OTV CERRADO RTN
TERRANOVA (TER) / CUADRO DE MANIOBRAS ELECTROLUX (CME) | IN-73420 CME CERRADO RTN
CUADRO DE MANIOBRAS ELECTROLUX (CME) / TERRANOVA (TER) | IN-73420 TER CERRADO RTN
CUADRO DE MANIOBRAS ELECTROLUX (CME) / SAN ISIDRO (SID) | IN-73520 SID CERRADO RTN
CUADRO DE MANIOBRAS ELECTROLUX (CME) | IN-73610 CERRADO RTN
CUADRO DE MANIOBRAS ELECTROLUX (CME) | IN-73690 INV LT CERRADO RTN
CUADRO DE MANIOBRAS ELECTROLUX (CME) / ORIENTE XXI (OTV) | IN-73580 OTV CERRADO RTN
ORIENTE XXI (OTV) | IN-78580 CERRADO RTN
MEDANOS (MED) / ORIENTE XXI (OTV) | IN-73620 OTV ABIERTO
ORIENTE XXI (OTV) | IN-78620 ANILLO LT/LT CERRADO RTN
ASENCION DOS (AOD) | IN-75010 CP 01 B Anormal Cambio Autorizado ABIERTO
PALOMAS (PMS) | IN-75010 CP 01 B Anormal Cambio Autorizado ABIERTO
NUEVO CASAS GRANDES (NCG) | IN-75010 CP 01 B Anormal Cambio Autorizado ABIERTO
MEDANOS (MED) / ORIENTE XXI (OTV) | IN-73620 OTV CERRADO RTN
SAMALAYUCA DOS (SYD) | IN-51030 UN 03 CERRADO RTN
SAMALAYUCA DOS (SYD) | IN-41045 UN 04 CERRADO RTN
MEDANOS (MED) / ORIENTE XXI (OTV) | IN-73620 OTV ABIERTO
ASENCION (AON) | IN-75010 CP 01 B Anormal Cambio Autorizado ABIERTO
NUEVO CASAS GRANDES (NCG) | IN-93930 NRI LT ABIERTO
NUEVO CASAS GRANDES (NCG) | IN-92970 AT 97 ALTA Cambio No Comandado ABIERT
NUEVO CASAS GRANDES (NCG) | IN-72970 AT 97 BAJA Cambio No Comandado ABIERT
NUEVO CASAS GRANDES (NCG) | IN-93950 AOD LT Cambio No Comandado ABIERT
NUEVO CASAS GRANDES (NCG) | IN-93950 AOD LT Cambio No Comandado CERRAD RTN
NUEVO CASAS GRANDES (NCG) | IN-93950 AOD LT Cambio No Comandado ABIERT
